Temperature (K)	Pressure (atm)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, F/atm)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, F/atm)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
532.00	45.450	785.43	0.0012732	20.238	20.344	51.784	56.443	89.560	1110.4	0.0056925	0.00010231	0.60710	0.023960	23.252	0.043008	46.825	50.393	108.27	45.847	76.943	499.52	2.7277	1.7765e-05	0.053072
533.00	46.196	783.86	0.0012757	20.326	20.433	51.948	56.397	89.783	1106.0	0.0062478	0.00010188	0.60595	0.023724	23.651	0.042281	46.818	50.383	108.14	46.013	77.515	499.25	2.7060	1.7804e-05	0.053397
534.00	46.952	782.29	0.0012783	20.413	20.523	52.113	56.352	90.011	1101.6	0.0068121	0.00010144	0.60480	0.023489	24.057	0.041568	46.810	50.373	108.01	46.180	78.096	498.97	2.6845	1.7843e-05	0.053727
535.00	47.716	780.71	0.0012809	20.501	20.613	52.278	56.307	90.242	1097.1	0.0073854	0.00010101	0.60363	0.023253	24.469	0.040868	46.803	50.362	107.88	46.347	78.686	498.68	2.6632	1.7882e-05	0.054060
536.00	48.491	779.12	0.0012835	20.589	20.703	52.443	56.263	90.478	1092.7	0.0079680	0.00010059	0.60246	0.023018	24.887	0.040181	46.794	50.351	107.76	46.515	79.286	498.38	2.6421	1.7921e-05	0.054397
537.00	49.275	777.51	0.0012861	20.677	20.793	52.608	56.219	90.718	1088.2	0.0085602	0.00010016	0.60128	0.022783	25.312	0.039506	46.786	50.339	107.63	46.684	79.896	498.07	2.6212	1.7960e-05	0.054737
538.00	50.068	775.90	0.0012888	20.766	20.883	52.772	56.175	90.962	1083.7	0.0091622	9.9735e-05	0.60009	0.022547	25.744	0.038844	46.777	50.327	107.50	46.854	80.516	497.76	2.6005	1.8000e-05	0.055082
539.00	50.871	774.29	0.0012915	20.854	20.974	52.937	56.132	91.211	1079.2	0.0097741	9.9313e-05	0.59890	0.022312	26.182	0.038195	46.768	50.315	107.37	47.025	81.147	497.43	2.5800	1.8040e-05	0.055431
540.00	51.684	772.66	0.0012942	20.943	21.065	53.102	56.089	91.464	1074.6	0.010396	9.8894e-05	0.59769	0.022077	26.627	0.037556	46.758	50.302	107.24	47.197	81.789	497.10	2.5597	1.8080e-05	0.055784
541.00	52.507	771.02	0.0012970	21.032	21.156	53.267	56.047	91.722	1070.1	0.011029	9.8476e-05	0.59647	0.021842	27.078	0.036930	46.748	50.288	107.12	47.369	82.441	496.76	2.5396	1.8120e-05	0.056142
