Temperature (K)	Pressure (atm)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, F/atm)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, F/atm)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
611.00	140.25	617.54	0.0016193	28.036	28.450	65.507	55.314	143.05	674.06	0.11588	7.1238e-05	0.48634	0.0060635	89.031	0.011232	44.547	47.422	96.557	63.142	208.81	443.75	1.4332	2.2253e-05	0.11030
612.00	142.03	614.37	0.0016277	28.156	28.578	65.706	55.376	145.22	666.76	0.11943	7.0819e-05	0.48430	0.0058591	90.738	0.011021	44.478	47.336	96.356	63.458	214.04	442.36	1.4194	2.2356e-05	0.11221
613.00	143.83	611.16	0.0016362	28.277	28.706	65.908	55.442	147.51	659.38	0.12313	7.0395e-05	0.48224	0.0056559	92.492	0.010812	44.408	47.247	96.153	63.779	219.57	440.93	1.4057	2.2461e-05	0.11421
614.00	145.64	607.88	0.0016451	28.399	28.836	66.111	55.515	149.95	651.91	0.12699	6.9967e-05	0.48017	0.0054538	94.295	0.010605	44.336	47.155	95.946	64.106	225.42	439.48	1.3920	2.2569e-05	0.11631
615.00	147.47	604.55	0.0016541	28.522	28.968	66.315	55.593	152.54	644.33	0.13101	6.9535e-05	0.47808	0.0052528	96.150	0.010400	44.262	47.062	95.736	64.438	231.63	437.99	1.3782	2.2681e-05	0.11850
616.00	149.33	601.15	0.0016635	28.647	29.101	66.522	55.679	155.31	636.65	0.13521	6.9099e-05	0.47597	0.0050531	98.060	0.010198	44.185	46.965	95.523	64.777	238.21	436.46	1.3644	2.2796e-05	0.12080
617.00	151.20	597.69	0.0016731	28.773	29.235	66.731	55.771	158.26	628.86	0.13960	6.8657e-05	0.47385	0.0048547	100.03	0.0099973	44.107	46.866	95.306	65.121	245.22	434.90	1.3505	2.2915e-05	0.12322
618.00	153.09	594.16	0.0016830	28.901	29.371	66.942	55.872	161.43	620.95	0.14419	6.8210e-05	0.47171	0.0046576	102.05	0.0097987	44.025	46.763	95.085	65.472	252.69	433.31	1.3365	2.3037e-05	0.12576
619.00	155.00	590.56	0.0016933	29.030	29.509	67.155	55.981	164.84	612.91	0.14901	6.7757e-05	0.46955	0.0044619	104.15	0.0096018	43.942	46.658	94.860	65.831	260.68	431.67	1.3225	2.3164e-05	0.12844
620.00	156.93	586.88	0.0017039	29.160	29.648	67.371	56.100	168.52	604.73	0.15407	6.7297e-05	0.46738	0.0042676	106.31	0.0094067	43.855	46.550	94.631	66.197	269.23	429.99	1.3085	2.3295e-05	0.13127
621.00	158.88	583.11	0.0017149	29.293	29.790	67.589	56.229	172.49	596.41	0.15938	6.6831e-05	0.46520	0.0040747	108.54	0.0092132	43.766	46.438	94.397	66.572	278.42	428.26	1.2943	2.3430e-05	0.13425
622.00	160.84	579.26	0.0017263	29.427	29.934	67.810	56.371	176.80	587.93	0.16498	6.6357e-05	0.46301	0.0038834	110.85	0.0090213	43.673	46.322	94.158	66.955	288.33	426.49	1.2801	2.3571e-05	0.13741
623.00	162.83	575.31	0.0017382	29.563	30.079	68.034	56.525	181.50	579.28	0.17089	6.5876e-05	0.46080	0.0036937	113.24	0.0088308	43.578	46.203	93.915	67.349	299.03	424.67	1.2657	2.3717e-05	0.14075
624.00	164.84	571.25	0.0017505	29.701	30.228	68.262	56.694	186.64	570.46	0.17713	6.5385e-05	0.45859	0.0035057	115.72	0.0086417	43.479	46.079	93.665	67.752	310.63	422.80	1.2513	2.3869e-05	0.14430
625.00	166.87	567.09	0.0017634	29.841	30.379	68.493	56.880	192.27	561.45	0.18373	6.4884e-05	0.45638	0.0033194	118.29	0.0084538	43.377	45.952	93.410	68.168	323.26	420.87	1.2367	2.4027e-05	0.14808
626.00	168.92	562.81	0.0017768	29.984	30.532	68.728	57.085	198.48	552.24	0.19073	6.4373e-05	0.45417	0.0031349	120.96	0.0082670	43.270	45.820	93.149	68.596	337.07	418.88	1.2220	2.4192e-05	0.15211
627.00	170.99	558.39	0.0017909	30.130	30.689	68.967	57.311	205.35	542.82	0.19816	6.3851e-05	0.45196	0.0029523	123.75	0.0080811	43.160	45.682	92.881	69.038	352.22	416.82	1.2071	2.4364e-05	0.15642
628.00	173.09	553.84	0.0018056	30.278	30.849	69.211	57.562	212.98	533.18	0.20605	6.3315e-05	0.44977	0.0027717	126.64	0.0078961	43.045	45.540	92.605	69.495	368.94	414.70	1.1920	2.4544e-05	0.16104
629.00	175.20	549.13	0.0018211	30.430	31.012	69.460	57.841	221.51	523.31	0.21447	6.2766e-05	0.44760	0.0025932	129.67	0.0077118	42.926	45.392	92.322	69.970	387.49	412.49	1.1767	2.4734e-05	0.16600
630.00	177.34	544.25	0.0018374	30.585	31.180	69.715	58.152	231.08	513.19	0.22343	6.2202e-05	0.44547	0.0024169	132.84	0.0075279	42.801	45.238	92.029	70.465	408.19	410.21	1.1612	2.4933e-05	0.17136
631.00	179.50	539.18	0.0018547	30.744	31.351	69.976	58.499	241.87	502.83	0.23301	6.1620e-05	0.44339	0.0022428	136.16	0.0073443	42.670	45.077	91.727	70.981	431.45	407.83	1.1455	2.5143e-05	0.17716
632.00	181.68	533.92	0.0018729	30.907	31.528	70.243	58.890	254.10	492.23	0.24324	6.1021e-05	0.44137	0.0020713	139.65	0.0071607	42.534	44.908	91.415	71.523	457.81	405.36	1.1294	2.5365e-05	0.18346
633.00	183.89	528.43	0.0018924	31.074	31.709	70.518	59.330	268.05	481.38	0.25418	6.0401e-05	0.43944	0.0019023	143.33	0.0069770	42.390	44.732	91.091	72.094	487.93	402.77	1.1130	2.5601e-05	0.19035
634.00	186.11	522.71	0.0019131	31.246	31.896	70.801	59.826	284.06	470.31	0.26588	5.9759e-05	0.43763	0.0017361	147.22	0.0067926	42.239	44.546	90.754	72.700	522.72	400.05	1.0962	2.5852e-05	0.19792
635.00	188.37	516.71	0.0019353	31.424	32.090	71.093	60.388	302.57	459.03	0.27841	5.9094e-05	0.43597	0.0015728	151.35	0.0066074	42.079	44.351	90.402	73.345	563.36	397.19	1.0790	2.6121e-05	0.20630
636.00	190.64	510.42	0.0019592	31.608	32.290	71.395	61.023	324.19	447.58	0.29182	5.8401e-05	0.43452	0.0014126	155.75	0.0064207	41.909	44.143	90.034	74.040	611.52	394.16	1.0612	2.6410e-05	0.21563
637.00	192.94	503.80	0.0019849	31.799	32.498	71.709	61.743	349.74	435.99	0.30619	5.7680e-05	0.43332	0.0012558	160.46	0.0062320	41.728	43.923	89.645	74.793	669.55	390.93	1.0428	2.6723e-05	0.22614
638.00	195.27	496.82	0.0020128	31.997	32.714	72.036	62.557	380.51	424.30	0.32162	5.6928e-05	0.43248	0.0011027	165.55	0.0060405	41.534	43.687	89.234	75.619	740.87	387.48	1.0236	2.7065e-05	0.23810
639.00	197.62	489.42	0.0020432	32.204	32.941	72.377	63.478	418.55	412.53	0.33828	5.6139e-05	0.43213	0.00095355	171.08	0.0058453	41.324	43.432	88.796	76.537	830.69	383.74	1.0035	2.7441e-05	0.25192
640.00	200.00	481.53	0.0020767	32.422	33.180	72.737	64.521	467.36	400.66	0.35642	5.5307e-05	0.43252	0.00080882	177.15	0.0056451	41.095	43.156	88.324	77.576	947.36	379.64	0.98222	2.7860e-05	0.26818
